172.28.193.157	172.28.193.157:58910	1.0
172.28.193.157	172.28.193.157:60810	1.0
172.28.193.157	172.28.193.157:58499	1.0
172.28.193.157	172.28.193.157:52544	1.0
172.28.193.157	172.28.193.157:48986	1.0
172.28.193.157	172.28.193.157:59560	1.0
172.28.193.157	172.28.193.157:48969	1.0
172.28.193.157	172.28.193.157:48989	1.0
172.28.193.157	172.28.193.157:59688	1.0
172.28.193.157	172.28.193.157:53237	1.0
172.28.193.157	172.28.193.157:59677	1.0
172.28.193.157	172.28.193.157:53222	1.0
172.28.193.157	172.28.193.157:59556	1.0
172.28.209.73	172.28.209.73:55692	1.0
172.28.208.188	172.28.208.188:35036	1.0
172.28.198.11	172.28.198.11:58789	1.0
172.28.198.11	172.28.198.11:51197	1.0
172.28.198.11	172.28.198.11:50692	1.0
172.28.198.11	172.28.198.11:50696	1.0
172.28.198.11	172.28.198.11:51261	1.0
172.28.198.11	172.28.198.11:58798	1.0
172.28.198.11:44986	172.28.198.11	1.0
172.28.198.11:58886	172.28.198.11	1.0
172.28.208.188:46705	172.28.208.188	1.0
172.28.211.45	172.28.211.45:42222	1.0
172.28.211.45	172.28.211.45:43774	1.0
172.28.211.45	172.28.211.45:47332	1.0
172.28.211.45	172.28.211.45:42330	1.0
172.28.211.45	172.28.211.45:43708	1.0
172.28.211.45	172.28.211.45:54517	1.0
172.28.211.45	172.28.211.45:43769	1.0
172.28.211.45	172.28.211.45:43686	1.0
172.28.211.45	172.28.211.45:43706	1.0
172.28.211.45	172.28.211.45:54527	1.0
172.28.211.45	172.28.211.45:42375	1.0
172.28.211.45:53955	172.28.211.45	1.0
172.28.193.157:58705	172.28.193.157	1.0
172.28.208.188:46899	172.28.208.188	1.0
172.28.208.188:47018	172.28.208.188	1.0
172.28.198.11:55993	172.28.198.11	1.0
172.28.209.73:44906	172.28.209.73	1.0
172.28.193.157:44225	172.28.193.157	1.0
172.28.211.45:44850	172.28.211.45	1.0
172.28.193.157:51500	172.28.193.157	1.0
172.28.198.11:41213	172.28.198.11	1.0
172.28.208.188:47238	172.28.208.188	1.0
172.28.198.11:42607	172.28.198.11	1.0
172.28.211.45:44032	172.28.211.45	1.0
172.28.211.45:53951	172.28.211.45	1.0
172.28.208.188:54726	172.28.208.188	1.0
172.28.211.45:44021	172.28.211.45	1.0
172.28.211.45:54215	172.28.211.45	1.0
172.28.193.157:39384	172.28.193.157	1.0
172.28.211.45:53959	172.28.211.45	1.0
172.28.211.45:54347	172.28.211.45	1.0
172.28.208.188:54722	172.28.208.188	1.0
172.18.18.16	172.18.18.16:56372	1.0
172.28.211.45:41466	172.28.211.45	1.0
172.28.193.157:34310	172.28.193.157	1.0
172.28.193.157:35235	172.28.193.157	1.0
172.28.193.157:51860	172.28.193.157	1.0
172.28.193.157:43179	172.28.193.157	1.0
172.28.193.157:53304	172.28.193.157	1.0
172.28.193.157:51998	172.28.193.157	1.0
172.28.198.11:47542	172.28.198.11	1.0
172.28.198.11:56892	172.28.198.11	1.0
172.28.193.157:52161	172.28.193.157	1.0
172.28.193.157:53086	172.28.193.157	1.0
172.28.193.157:33930	172.28.193.157	1.0
172.28.211.45:59905	172.28.211.45	1.0
172.28.193.157:34862	172.28.193.157	1.0
172.28.211.45:43812	172.28.211.45	1.0
172.28.193.157:48356	172.28.193.157	1.0
172.28.209.73:49531	172.28.209.73	1.0
172.28.198.11:50706	172.28.198.11	1.0
172.28.193.157:58500	172.28.193.157	1.0
172.28.193.157:52419	172.28.193.157	1.0
172.28.209.73:56838	172.28.209.73	1.0
172.28.193.157:35507	172.28.193.157	1.0
172.28.198.11:59282	172.28.198.11	1.0
172.28.193.157:54995	172.28.193.157	1.0
172.28.198.11:59370	172.28.198.11	1.0
172.28.193.157:58414	172.28.193.157	1.0
172.28.211.45:40358	172.28.211.45	1.0
172.28.193.157:41927	172.28.193.157	1.0
172.28.193.157:48352	172.28.193.157	1.0
172.28.209.73:42196	172.28.209.73	1.0
172.28.211.45:54021	172.28.211.45	1.0
172.28.193.157:40909	172.28.193.157	1.0
172.28.193.157:42859	172.28.193.157	1.0
172.28.193.157:58109	172.28.193.157	1.0
172.28.193.157:39753	172.28.193.157	1.0
172.28.209.73:44503	172.28.209.73	1.0
172.28.198.11:51303	172.28.198.11	1.0
172.28.193.157:53172	172.28.193.157	1.0
172.28.211.45:54522	172.28.211.45	1.0
172.28.211.45:60066	172.28.211.45	1.0
172.28.198.11:32785	172.28.198.11	1.0
172.28.198.11:58785	172.28.198.11	1.0
172.28.211.45:42854	172.28.211.45	1.0
172.28.211.45:33148	172.28.211.45	1.0
172.28.208.188:46998	172.28.208.188	1.0
172.28.208.188:46686	172.28.208.188	1.0
172.28.198.11:59386	172.28.198.11	1.0
172.28.211.45:42355	172.28.211.45	1.0
172.28.211.45:54330	172.28.211.45	1.0
172.28.209.73:56680	172.28.209.73	1.0
172.28.198.11:42799	172.28.198.11	1.0
172.28.198.11:57043	172.28.198.11	1.0
172.28.193.157:52462	172.28.193.157	1.0
172.28.198.11:55537	172.28.198.11	1.0
172.28.193.157:41125	172.28.193.157	1.0
172.28.198.11:47675	172.28.198.11	1.0
172.28.209.73:55669	172.28.209.73	1.0
172.28.193.157:41338	172.28.193.157	1.0
172.28.211.45:60238	172.28.211.45	1.0
172.28.211.45:42351	172.28.211.45	1.0
172.28.209.73:44951	172.28.209.73	1.0
172.28.198.11:50426	172.28.198.11	1.0
172.28.211.45:22	172.28.211.45	1.0
172.28.193.157:39221	172.28.193.157	1.0
172.28.198.11:41471	172.28.198.11	1.0
172.28.193.157:41646	172.28.193.157	1.0
108.61.56.35:0	108.61.56.35	1.0
172.28.198.11:56853	172.28.198.11	1.0
172.28.211.45:59878	172.28.211.45	1.0
172.28.198.11:55647	172.28.198.11	1.0
172.28.209.73:34085	172.28.209.73	1.0
172.28.209.73:48048	172.28.209.73	1.0
172.28.211.45:54023	172.28.211.45	1.0
172.28.193.157:53136	172.28.193.157	1.0
172.28.198.11:35174	172.28.198.11	1.0
172.28.211.45:33437	172.28.211.45	1.0
172.28.193.157:58412	172.28.193.157	1.0
172.28.193.157:43331	172.28.193.157	1.0
172.28.211.45:41450	172.28.211.45	1.0
172.28.211.45:40244	172.28.211.45	1.0
172.28.208.188:53319	172.28.208.188	1.0
