172.28.208.188:53610	172.28.208.188	1.0
172.28.208.188	172.28.208.188:44337	1.0
172.28.208.188	172.28.208.188:47478	1.0
172.28.193.157	172.28.193.157:45086	1.0
172.28.193.157	172.28.193.157:36808	1.0
172.28.193.157:60810	172.28.193.157	1.0
172.28.211.45	172.28.211.45:51829	1.0
172.28.209.73:60148	172.28.209.73	1.0
172.28.198.11	172.28.198.11:40061	1.0
172.28.198.11	172.28.198.11:34792	1.0
172.28.198.11	172.28.198.11:45152	1.0
172.28.208.188:42068	172.28.208.188	1.0
172.28.198.11:50068	172.28.198.11	1.0
172.28.211.45:52837	172.28.211.45	1.0
172.28.208.188:53950	172.28.208.188	1.0
172.28.198.11:49888	172.28.198.11	1.0
172.28.211.45:48182	172.28.211.45	1.0
172.18.18.16:55701	172.18.18.16	1.0
172.28.198.11:46595	172.28.198.11	1.0
172.28.208.188:47358	172.28.208.188	1.0
172.28.198.11:52727	172.28.198.11	1.0
172.28.193.157:55977	172.28.193.157	1.0
172.28.198.11:48946	172.28.198.11	1.0
172.28.198.11:49840	172.28.198.11	1.0
172.28.193.157:35953	172.28.193.157	1.0
172.28.208.188:44616	172.28.208.188	1.0
172.28.193.157:34085	172.28.193.157	1.0
172.28.198.11:35129	172.28.198.11	1.0
172.28.193.157:34636	172.28.193.157	1.0
172.28.193.157:56186	172.28.193.157	1.0
172.28.193.157:35880	172.28.193.157	1.0
172.28.193.157:55880	172.28.193.157	1.0
172.18.18.16:55674	172.18.18.16	1.0
172.28.193.157:33293	172.28.193.157	1.0
172.28.193.157:34393	172.28.193.157	1.0
172.28.211.45:48468	172.28.211.45	1.0
172.28.209.73:49531	172.28.209.73	1.0
172.28.193.157:45100	172.28.193.157	1.0
172.28.193.157:45694	172.28.193.157	1.0
172.28.193.157:56132	172.28.193.157	1.0
172.28.193.157:34576	172.28.193.157	1.0
172.28.198.11:52001	172.28.198.11	1.0
172.28.209.73:48095	172.28.209.73	1.0
172.28.193.157:51720	172.28.193.157	1.0
172.28.193.157:54995	172.28.193.157	1.0
172.28.193.157:34171	172.28.193.157	1.0
172.28.211.45:52221	172.28.211.45	1.0
172.28.193.157:36315	172.28.193.157	1.0
172.28.193.157:51634	172.28.193.157	1.0
172.28.211.45:37028	172.28.211.45	1.0
172.28.193.157:33372	172.28.193.157	1.0
172.28.193.157:51641	172.28.193.157	1.0
172.28.208.188:53991	172.28.208.188	1.0
172.28.209.73:54048	172.28.209.73	1.0
172.28.208.188:45461	172.28.208.188	1.0
172.28.193.157:34055	172.28.193.157	1.0
172.28.198.11:48980	172.28.198.11	1.0
172.28.209.73:52868	172.28.209.73	1.0
172.28.193.157:55818	172.28.193.157	1.0
172.28.211.45:53487	172.28.211.45	1.0
172.28.208.188:42525	172.28.208.188	1.0
172.28.208.188:53969	172.28.208.188	1.0
172.28.198.11:39795	172.28.198.11	1.0
172.28.211.45:37339	172.28.211.45	1.0
172.28.211.45:22	172.28.211.45	1.0
172.28.193.157:56202	172.28.193.157	1.0
172.28.209.73:39490	172.28.209.73	1.0
172.28.193.157:55609	172.28.193.157	1.0
172.28.208.188:44347	172.28.208.188	1.0
172.28.211.45:52266	172.28.211.45	1.0
172.28.211.45:37385	172.28.211.45	1.0
172.28.208.188:44735	172.28.208.188	1.0
172.28.208.188:45435	172.28.208.188	1.0
172.28.211.45:60392	172.28.211.45	1.0
172.28.211.45:47399	172.28.211.45	1.0
172.28.209.73:48774	172.28.209.73	1.0
172.28.208.188:44218	172.28.208.188	1.0
172.28.198.11:49344	172.28.198.11	1.0
172.28.209.73:39363	172.28.209.73	1.0
172.28.198.11:49038	172.28.198.11	1.0
172.28.193.157:56076	172.28.193.157	1.0
172.28.193.157:36364	172.28.193.157	1.0
172.28.208.188:44214	172.28.208.188	1.0
172.28.208.188:45439	172.28.208.188	1.0
172.28.211.45:47708	172.28.211.45	1.0
172.28.193.157:32827	172.28.193.157	1.0
172.28.211.45:52227	172.28.211.45	1.0
172.28.198.11:52672	172.28.198.11	1.0
172.28.208.188:44235	172.28.208.188	1.0
172.18.18.16:55660	172.18.18.16	1.0
172.28.208.188:44454	172.28.208.188	1.0
172.28.193.157:54954	172.28.193.157	1.0
172.28.211.45:53948	172.28.211.45	1.0
172.18.18.16:55642	172.18.18.16	1.0
172.28.193.157:55449	172.28.193.157	1.0
172.28.211.45:50075	172.28.211.45	1.0
172.28.198.11:39713	172.28.198.11	1.0
172.28.208.188:44382	172.28.208.188	1.0
172.28.208.188:47482	172.28.208.188	1.0
172.28.208.188:53901	172.28.208.188	1.0
172.28.208.188:53808	172.28.208.188	1.0
172.28.193.157:56358	172.28.193.157	1.0
172.28.211.45:38477	172.28.211.45	1.0
172.28.198.11:39827	172.28.198.11	1.0
172.28.198.11:49477	172.28.198.11	1.0
172.28.198.11:35346	172.28.198.11	1.0
172.28.208.188:56746	172.28.208.188	1.0
172.28.208.188:56697	172.28.208.188	1.0
172.28.198.11:40554	172.28.198.11	1.0
172.28.198.11:52829	172.28.198.11	1.0
172.28.193.157:56229	172.28.193.157	1.0
172.28.193.157:60973	172.28.193.157	1.0
172.28.198.11:40642	172.28.198.11	1.0
172.28.193.157:45511	172.28.193.157	1.0
172.28.211.45:54205	172.28.211.45	1.0
172.28.193.157:45699	172.28.193.157	1.0
172.28.193.157:34062	172.28.193.157	1.0
172.28.211.45:42662	172.28.211.45	1.0
172.28.193.157:34681	172.28.193.157	1.0
172.28.211.45:53606	172.28.211.45	1.0
172.28.209.73:35794	172.28.209.73	1.0
172.28.211.45:52669	172.28.211.45	1.0
172.28.193.157:34382	172.28.193.157	1.0
172.28.193.157:45445	172.28.193.157	1.0
172.28.209.73:48820	172.28.209.73	1.0
172.28.193.157:33602	172.28.193.157	1.0
172.28.209.73:42327	172.28.209.73	1.0
172.28.211.45:54377	172.28.211.45	1.0
172.28.193.157:33821	172.28.193.157	1.0
172.28.193.157:0	172.28.193.157	1.0
172.28.198.11:49434	172.28.198.11	1.0
172.28.198.11:52009	172.28.198.11	1.0
172.28.193.157:35878	172.28.193.157	1.0
172.28.193.157:33516	172.28.193.157	1.0
172.28.211.45:48342	172.28.211.45	1.0
172.28.193.157:33443	172.28.193.157	1.0
172.28.198.11:53087	172.28.198.11	1.0
172.28.211.45:54338	172.28.211.45	1.0
172.28.193.157:33652	172.28.193.157	1.0
172.28.198.11:48977	172.28.198.11	1.0
172.28.198.11:37584	172.28.198.11	1.0
172.28.198.11:49053	172.28.198.11	1.0
172.28.193.157:33310	172.28.193.157	1.0
172.28.193.157:45454	172.28.193.157	1.0
172.28.193.157:60929	172.28.193.157	1.0
172.28.198.11:50018	172.28.198.11	1.0
172.28.208.188:53825	172.28.208.188	1.0
172.28.211.45:52438	172.28.211.45	1.0
172.18.18.16:53270	172.18.18.16	1.0
172.28.198.11:49339	172.28.198.11	1.0
172.28.198.11:37633	172.28.198.11	1.0
172.28.198.11:49027	172.28.198.11	1.0
172.28.193.157:51721	172.28.193.157	1.0
172.28.193.157:56065	172.28.193.157	1.0
172.28.211.45:49728	172.28.211.45	1.0
172.28.193.157:52322	172.28.193.157	1.0
172.28.198.11:40316	172.28.198.11	1.0
172.28.198.11:52566	172.28.198.11	1.0
172.28.208.188:25011	172.28.208.188	1.0
172.28.208.188:35079	172.28.208.188	1.0
172.28.211.45:48373	172.28.211.45	1.0
172.28.208.188:53986	172.28.208.188	1.0
172.28.193.157:34093	172.28.193.157	1.0
172.28.211.45:37450	172.28.211.45	1.0
172.28.198.11:49925	172.28.198.11	1.0
172.28.209.73:60519	172.28.209.73	1.0
172.28.208.188:42563	172.28.208.188	1.0
172.28.209.73:42276	172.28.209.73	1.0
172.28.208.188:42464	172.28.208.188	1.0
172.28.211.45:47464	172.28.211.45	1.0
172.28.208.188:35358	172.28.208.188	1.0
172.28.208.188:44352	172.28.208.188	1.0
172.28.193.157:34196	172.28.193.157	1.0
172.28.211.45:52921	172.28.211.45	1.0
172.28.198.11:52015	172.28.198.11	1.0
172.28.208.188:44459	172.28.208.188	1.0
172.28.209.73:57009	172.28.209.73	1.0
172.28.209.73:8022	172.28.209.73	1.0
172.28.193.157:45010	172.28.193.157	1.0
172.28.198.11:35529	172.28.198.11	1.0
172.28.209.73:55929	172.28.209.73	1.0
172.28.193.157:33973	172.28.193.157	1.0
172.28.193.157:34067	172.28.193.157	1.0
172.28.198.11:52742	172.28.198.11	1.0
172.28.193.157:33361	172.28.193.157	1.0
172.28.209.73:46268	172.28.209.73	1.0
172.28.209.73:52843	172.28.209.73	1.0
172.28.193.157:33462	172.28.193.157	1.0
172.28.198.11:49906	172.28.198.11	1.0
172.28.208.188:56606	172.28.208.188	1.0
172.28.193.157:34375	172.28.193.157	1.0
172.28.198.11:49375	172.28.198.11	1.0
172.28.193.157:33819	172.28.193.157	1.0
172.28.211.45:52582	172.28.211.45	1.0
172.28.211.45:37945	172.28.211.45	1.0
172.28.209.73:54045	172.28.209.73	1.0
172.28.193.157:34339	172.28.193.157	1.0
172.28.193.157:56314	172.28.193.157	1.0
172.28.193.157:56427	172.28.193.157	1.0
172.28.193.157:34584	172.28.193.157	1.0
172.28.193.157:36403	172.28.193.157	1.0
172.28.198.11:46653	172.28.198.11	1.0
172.28.193.157:33747	172.28.193.157	1.0
172.28.198.11:35772	172.28.198.11	1.0
172.28.209.73:42497	172.28.209.73	1.0
172.28.193.157:52197	172.28.193.157	1.0
172.28.208.188:44435	172.28.208.188	1.0
172.28.198.11:52060	172.28.198.11	1.0
172.28.208.188:56579	172.28.208.188	1.0
172.28.209.73:34398	172.28.209.73	1.0
172.28.209.73:42498	172.28.209.73	1.0
172.28.209.73:52817	172.28.209.73	1.0
172.28.211.45:52655	172.28.211.45	1.0
172.28.198.11:34699	172.28.198.11	1.0
172.28.193.157:34037	172.28.193.157	1.0
172.28.198.11:49600	172.28.198.11	1.0
172.28.211.45:52457	172.28.211.45	1.0
172.28.198.11:40276	172.28.198.11	1.0
172.28.198.11:49596	172.28.198.11	1.0
172.28.193.157:55384	172.28.193.157	1.0
172.28.211.45:52453	172.28.211.45	1.0
172.28.211.45:37397	172.28.211.45	1.0
172.28.211.45:48191	172.28.211.45	1.0
172.28.198.11:40723	172.28.198.11	1.0
172.28.208.188:46223	172.28.208.188	1.0
172.28.193.157:52311	172.28.193.157	1.0
172.28.193.157:36555	172.28.193.157	1.0
172.28.193.157:33619	172.28.193.157	1.0
172.18.18.16:53263	172.18.18.16	1.0
172.28.193.157:36551	172.28.193.157	1.0
172.28.211.45:48396	172.28.211.45	1.0
172.28.193.157:52315	172.28.193.157	1.0
172.28.211.45:60341	172.28.211.45	1.0
172.28.208.188:56686	172.28.208.188	1.0
172.28.208.188:48224	172.28.208.188	1.0
172.28.208.188:42468	172.28.208.188	1.0
172.28.208.188:44643	172.28.208.188	1.0
172.28.208.188:56618	172.28.208.188	1.0
172.28.208.188:53937	172.28.208.188	1.0
172.28.211.45:37931	172.28.211.45	1.0
172.28.198.11:37050	172.28.198.11	1.0
172.28.208.188:56625	172.28.208.188	1.0
172.28.208.188:53944	172.28.208.188	1.0
172.28.198.11:49426	172.28.198.11	1.0
172.28.211.45:54420	172.28.211.45	1.0
172.28.198.11:52789	172.28.198.11	1.0
172.28.208.188:44583	172.28.208.188	1.0
172.28.209.73:33902	172.28.209.73	1.0
172.28.198.11:39702	172.28.198.11	1.0
172.28.208.188:44271	172.28.208.188	1.0
172.28.193.157:56446	172.28.193.157	1.0
172.28.208.188:42440	172.28.208.188	1.0
172.28.193.157:56134	172.28.193.157	1.0
172.28.208.188:42453	172.28.208.188	1.0
172.28.208.188:56353	172.28.208.188	1.0
172.28.208.188:56728	172.28.208.188	1.0
172.28.209.73:42041	172.28.209.73	1.0
172.28.193.157:51635	172.28.193.157	1.0
172.28.198.11:52704	172.28.198.11	1.0
172.28.198.11:49823	172.28.198.11	1.0
172.28.193.157:55448	172.28.193.157	1.0
172.28.193.157:33592	172.28.193.157	1.0
172.28.198.11:40567	172.28.198.11	1.0
172.28.193.157:52593	172.28.193.157	1.0
172.28.211.45:54506	172.28.211.45	1.0
172.28.193.157:56625	172.28.193.157	1.0
172.28.208.188:56800	172.28.208.188	1.0
172.28.209.73:59994	172.28.209.73	1.0
172.28.198.11:52063	172.28.198.11	1.0
172.28.193.157:56313	172.28.193.157	1.0
172.28.193.157:35482	172.28.193.157	1.0
172.28.198.11:39707	172.28.198.11	1.0
172.28.211.45:37626	172.28.211.45	1.0
172.28.209.73:52801	172.28.209.73	1.0
172.28.209.73:53039	172.28.209.73	1.0
172.28.193.157:55939	172.28.193.157	1.0
172.28.211.45:48233	172.28.211.45	1.0
172.28.193.157:55527	172.28.193.157	1.0
172.28.209.73:53303	172.28.209.73	1.0
172.28.193.157:33535	172.28.193.157	1.0
172.28.208.188:47360	172.28.208.188	1.0
172.28.198.11:35593	172.28.198.11	1.0
172.28.211.45:52512	172.28.211.45	1.0
172.18.18.16:55725	172.18.18.16	1.0
172.28.193.157:34444	172.28.193.157	1.0
172.28.211.45:48463	172.28.211.45	1.0
172.28.193.157:23000	172.28.193.157	1.0
172.28.208.188:56777	172.28.208.188	1.0
172.28.211.45:37690	172.28.211.45	1.0
172.28.198.11:52640	172.28.198.11	1.0
172.28.209.73:52934	172.28.209.73	1.0
172.28.193.157:56491	172.28.193.157	1.0
172.28.193.157:60910	172.28.193.157	1.0
172.28.198.11:40329	172.28.198.11	1.0
172.28.209.73:42042	172.28.209.73	1.0
172.28.209.73:8030	172.28.209.73	1.0
172.28.198.11:35187	172.28.198.11	1.0
172.28.193.157:56256	172.28.193.157	1.0
172.28.193.157:45025	172.28.193.157	1.0
172.28.211.45:37383	172.28.211.45	1.0
172.28.211.45:51921	172.28.211.45	1.0
172.28.208.188:56640	172.28.208.188	1.0
52.0.56.137:0	52.0.56.137	1.0
96.244.96.19	96.244.96.19:0	1.0
172.28.211.45:47997	172.28.211.45	1.0
172.28.208.188:50010	172.28.208.188	1.0
172.28.208.188:56610	172.28.208.188	1.0
172.28.193.157:34079	172.28.193.157	1.0
172.28.209.73:52848	172.28.209.73	1.0
172.28.208.188:42392	172.28.208.188	1.0
172.28.193.157:33580	172.28.193.157	1.0
172.28.198.11:35412	172.28.198.11	1.0
172.28.209.73:39562	172.28.209.73	1.0
172.28.193.157:45512	172.28.193.157	1.0
